Total Play Time,Total XP,Bot Name,Level,Rarity,Health,Size,Haste,Crit,Resilience,Max Energy,Res. Yield Incr.,Mission Success Boost,Mission Crit Chance,Mission Number
8.0,96,bot1,1,common,100,9,4,8,523,124,0.09,0.02,0.04,1
2.0,30,bot2,1,common,100,15,1,5,417,115,0.15,0.005,0.025,1
2.0,30,bot3,1,common,100,8,8,5,510,108,0.08,0.04,0.025,1
8.0,280,bot4,1,common,100,9,9,3,419,114,0.09,0.045,0.015,1
12.0,236,bot1,1,common,100,9,4,8,523,124,0.09,0.02,0.04,2
6.0,102,bot2,1,common,100,15,1,5,417,115,0.15,0.005,0.025,2
4.0,100,bot3,1,common,100,8,8,5,510,108,0.08,0.04,0.025,2
10.0,370,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,2
16.0,416,bot1,2,common,100,10,5,8,523,124,0.1,0.025,0.04,3
8.0,132,bot2,1,common,100,15,1,5,417,115,0.15,0.005,0.025,3
8.0,160,bot3,1,common,100,8,8,5,510,108,0.08,0.04,0.025,3
12.0,460,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,3
18.0,452,bot1,2,common,100,10,5,8,523,124,0.1,0.025,0.04,4
16.0,572,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,4
16.0,440,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,4
16.0,600,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,4
20.0,522,bot1,2,common,100,10,5,8,523,124,0.1,0.025,0.04,5
20.0,712,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,5
18.0,530,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,5
18.0,630,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,5
28.0,882,bot1,2,common,100,10,5,8,523,124,0.1,0.025,0.04,6
28.0,856,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,6
22.0,590,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,6
20.0,660,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,6
32.0,954,bot1,3,common,100,10,5,10,523,124,0.1,0.025,0.05,7
32.0,996,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,7
24.0,700,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,7
24.0,732,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,7
40.0,1074,bot1,3,common,100,10,5,10,523,124,0.1,0.025,0.05,8
40.0,1140,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,8
28.0,920,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,8
32.0,1172,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,8
48.0,1218,bot1,3,common,100,10,5,10,523,124,0.1,0.025,0.05,9
48.0,1420,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,9
36.0,1040,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,9
40.0,1316,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,9
50.0,1288,bot1,3,common,100,10,5,10,523,124,0.1,0.025,0.05,10
50.0,1456,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,10
38.0,1150,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,10
44.0,1376,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,10
58.0,1568,bot1,4,common,100,10,6,11,523,124,0.1,0.03,0.055,11
54.0,1596,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,11
46.0,1430,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,11
46.0,1400,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,11
62.0,1748,bot1,4,common,100,10,6,11,523,124,0.1,0.03,0.055,12
56.4,1596,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,12
50.0,1610,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,12
48.8,1400,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,12
64.0,1818,bot1,4,common,100,10,6,11,523,124,0.1,0.03,0.055,13
58.4,1686,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,13
54.0,1790,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,13
52.8,1580,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,13
72.0,1914,bot1,4,common,100,10,6,11,523,124,0.1,0.03,0.055,14
62.4,1866,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,14
56.65,1790,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,14
56.8,1652,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,14
80.0,2274,bot1,4,common,100,10,6,11,523,124,0.1,0.03,0.055,15
70.4,2226,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,15
58.65,1880,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,15
64.8,1796,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,15
82.0,2310,bot1,4,common,100,10,6,11,523,124,0.1,0.03,0.055,16
72.4,2336,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,16
60.65,1916,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,16
72.8,1916,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,16
86.0,2358,bot1,4,common,100,10,6,11,523,124,0.1,0.03,0.055,17
76.4,2408,bot2,2,common,100,16,2,5,417,115,0.16,0.01,0.025,17
64.65,2096,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,17
80.8,2276,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,17
86.0,2358,bot1,4,common,100,10,6,11,523,124,0.1,0.03,0.055,18
80.4,2456,bot2,3,common,100,16,3,6,417,115,0.16,0.015,0.03,18
72.65,2216,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,18
83.5,2276,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,18
82.4,2566,bot2,4,common,100,18,3,6,417,115,0.18,0.015,0.03,19
76.65,2356,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,19
85.5,2312,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,19
2.0,36,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,19
84.4,2636,bot2,4,common,100,18,3,6,417,115,0.18,0.015,0.03,20
80.65,2576,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,20
87.5,2348,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,20
4.0,60,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,20
86.4,2660,bot2,4,common,100,18,3,6,417,115,0.18,0.015,0.03,21
88.65,2856,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,21
91.5,2488,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,21
6.0,84,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,21
94.4,2940,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,22
90.9,2856,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,22
99.5,2632,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,22
14.0,524,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,22
102.4,3220,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,23
94.9,2928,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,23
107.5,2728,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,23
18.0,596,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,23
104.4,3256,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,24
98.9,3068,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,24
109.5,2838,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,24
26.0,956,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,24
108.4,3396,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,25
106.9,3164,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,25
117.5,2934,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,25
34.0,1236,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,25
112.4,3576,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,26
110.9,3236,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,26
119.5,2970,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,26
36.6,1236,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,26
114.4,3646,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,27
114.9,3376,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,27
121.5,2994,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,27
38.6,1346,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,27
118.4,3706,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,28
118.9,3556,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,28
124.2,2994,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,28
42.6,1566,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,28
120.4,3736,bot2,5,common,100,19,3,7,417,115,0.19,0.015,0.035,29
126.9,3836,bot3,2,common,100,8,9,6,510,108,0.08,0.045,0.03,29
128.2,3134,bot4,2,common,100,10,10,3,419,114,0.1,0.05,0.015,29
46.6,1638,bot5,1,common,100,10,7,4,464,110,0.1,0.035,0.02,29
