Total Play Time,Total XP,Bot Name,Level,Simulation Run
8.0,320,bot1,1,1
8.0,320,bot2,1,1
4.0,120,bot3,1,1
8.0,72,bot4,1,1
16.0,720,bot1,2,1
16.0,720,bot2,2,1
6.0,150,bot3,1,1
16.0,392,bot4,1,1
20.0,840,bot1,2,1
20.0,840,bot2,2,1
14.0,470,bot3,2,1
20.0,592,bot4,1,1
22.0,900,bot1,2,1
28.0,1080,bot2,2,1
22.0,710,bot3,2,1
24.0,652,bot4,2,1
26.0,936,bot1,2,1
32.0,1240,bot2,2,1
26.0,758,bot3,2,1
26.0,712,bot4,2,1
34.0,1032,bot1,2,1
28.0,838,bot3,2,1
34.0,952,bot4,2,1
36.0,1092,bot1,2,1
30.0,938,bot3,2,1
36.0,976,bot4,2,1
2.0,60,bot5,1,1
38.0,1116,bot1,2,1
38.0,1058,bot3,3,1
40.0,1136,bot4,2,1
10.0,300,bot5,1,1
46.0,1356,bot1,2,1
42.0,1258,bot3,3,1
44.0,1184,bot4,2,1
14.0,460,bot5,2,1
50.0,1516,bot1,2,1
46.0,1458,bot3,3,1
52.0,1304,bot4,2,1
22.0,532,bot5,2,1
54.0,1576,bot1,2,1
54.0,1778,bot3,3,1
56.0,1424,bot4,2,1
30.0,932,bot5,2,1
58.0,1624,bot1,2,1
58.0,1814,bot3,3,1
58.0,1484,bot4,2,1
34.0,1092,bot5,2,1
62.0,1660,bot1,2,1
62.0,2014,bot3,3,1
42.0,1212,bot5,2,1
64.0,1720,bot1,2,1
62.325,1544,bot4,2,1
50.0,1332,bot5,2,1
71.95,2086,bot3,4,1
64.325,1568,bot4,2,1
70.7,1780,bot1,2,1
75.95,2246,bot3,4,1
66.325,1668,bot4,2,1
56.85,1492,bot5,2,1
74.7,1816,bot1,2,1
77.95,2306,bot3,4,1
74.325,1788,bot4,2,1
64.85,1732,bot5,2,1
76.7,1846,bot1,2,1
79.95,2366,bot3,4,1
76.325,1848,bot4,2,1
66.85,1756,bot5,2,1
80.7,1966,bot1,2,1
83.95,2414,bot3,4,1
80.325,1896,bot4,2,1
68.85,1816,bot5,2,1
84.7,2166,bot1,2,1
91.95,2510,bot3,4,1
88.325,1992,bot4,2,1
70.85,1846,bot5,2,1
86.7,2190,bot1,2,1
93.95,2570,bot3,4,1
96.325,2064,bot4,2,1
74.85,1966,bot5,2,1
90.7,2250,bot1,2,1
101.95,2690,bot3,4,1
78.85,2026,bot5,2,1
98.7,2370,bot1,2,1
103.95,2708,bot3,4,1
102.97500000000001,2100,bot4,2,1
80.85,2126,bot5,2,1
100.7,2394,bot1,2,1
106.97500000000001,2300,bot4,2,1
88.85,2366,bot5,2,1
114.275,3028,bot3,4,1
114.97500000000001,2620,bot4,2,1
92.85,2414,bot5,2,1
111.60000000000001,2634,bot1,2,1
116.275,3108,bot3,4,1
118.97500000000001,2780,bot4,2,1
113.60000000000001,2694,bot1,2,1
124.275,3508,bot3,5,1
120.97500000000001,2840,bot4,2,1
97.5,2438,bot5,2,1
117.60000000000001,2894,bot1,2,1
132.275,3628,bot3,5,1
124.97500000000001,3040,bot4,2,1
101.5,2474,bot5,2,1
121.60000000000001,3094,bot1,2,1
136.275,3688,bot3,5,1
128.97500000000002,3088,bot4,2,1
105.5,2510,bot5,2,1
129.60000000000002,3334,bot1,2,1
140.275,3808,bot3,5,1
132.97500000000002,3124,bot4,2,1
109.5,2546,bot5,2,1
137.60000000000002,3406,bot1,2,1
144.275,4008,bot3,5,1
113.5,2582,bot5,2,1
139.60000000000002,3424,bot1,2,1
148.275,4168,bot3,5,1
137.47500000000002,3154,bot4,2,1
121.5,2702,bot5,2,1
141.60000000000002,3448,bot1,2,1
156.275,4240,bot3,5,1
145.47500000000002,3274,bot4,2,1
129.5,3022,bot5,2,1
149.60000000000002,3768,bot1,2,1
147.47500000000002,3374,bot4,2,1
131.5,3102,bot5,2,1
162.70000000000002,4360,bot3,6,1
149.47500000000002,3474,bot4,2,1
154.55,3848,bot1,2,1
170.70000000000002,4600,bot3,6,1
157.47500000000002,3874,bot4,2,1
142.0,3198,bot5,2,1
156.55,3948,bot1,2,1
178.70000000000002,4672,bot3,6,1
159.47500000000002,3954,bot4,2,1
150.0,3270,bot5,2,1
164.55,4188,bot1,2,1
186.70000000000002,4912,bot3,6,1
163.47500000000002,4014,bot4,2,1
152.0,3300,bot5,2,1
172.55,4260,bot1,2,1
194.70000000000002,5008,bot3,6,1
160.0,3540,bot5,2,1
180.55,4660,bot1,2,1
196.70000000000002,5108,bot3,6,1
174.22500000000002,4086,bot4,2,1
164.0,3588,bot5,2,1
188.55,4980,bot1,2,1
200.70000000000002,5228,bot3,6,1
182.22500000000002,4326,bot4,2,1
172.0,3908,bot5,2,1
190.55,5004,bot1,2,1
204.70000000000002,5388,bot3,6,1
186.22500000000002,4362,bot4,2,1
206.70000000000002,5418,bot3,6,1
190.22500000000002,4562,bot4,2,1
182.5,4148,bot5,2,1
195.25,5034,bot1,2,1
194.22500000000002,4622,bot4,2,1
197.25,5134,bot1,3,1
211.32500000000002,5478,bot3,6,1
202.22500000000002,5022,bot4,3,1
8.0,240,bot6,1,1
201.25,5294,bot1,4,1
219.32500000000002,5574,bot3,6,1
206.22500000000002,5070,bot4,3,1
12.0,360,bot6,2,1
209.25,5414,bot1,4,1
227.32500000000002,5974,bot3,6,1
210.22500000000002,5230,bot4,3,1
20.0,680,bot6,2,1
217.25,5814,bot1,4,1
229.32500000000002,6004,bot3,6,1
212.22500000000002,5254,bot4,3,1
22.0,710,bot6,2,1
221.25,5874,bot1,4,1
233.32500000000002,6040,bot3,6,1
216.22500000000002,5290,bot4,3,1
30.0,806,bot6,2,1
229.25,5994,bot1,4,1
241.32500000000002,6280,bot3,6,1
218.22500000000002,5350,bot4,3,1
32.0,824,bot6,2,1
233.25,6054,bot1,4,1
226.22500000000002,5590,bot4,3,1
34.0,848,bot6,2,1
251.62500000000003,6600,bot3,6,1
234.22500000000002,5990,bot4,3,1
42.0,1088,bot6,2,1
238.05,6154,bot1,4,1
259.625,7000,bot3,6,1
238.22500000000002,6026,bot4,3,1
44.0,1112,bot6,2,1
246.05,6274,bot1,4,1
267.625,7240,bot3,6,1
52.0,1432,bot6,2,1
248.05,6334,bot1,4,1
271.625,7288,bot3,6,1
244.60000000000002,6086,bot4,3,1
250.05,6414,bot1,4,1
279.625,7360,bot3,7,1
248.60000000000002,6246,bot4,3,1
58.675,1592,bot6,2,1
258.05,6734,bot1,4,1
283.625,7480,bot3,7,1
256.6,6566,bot4,3,1
66.675,1992,bot6,2,1
262.05,6770,bot1,4,1
291.625,7600,bot3,7,1
260.6,6726,bot4,3,1
74.675,2064,bot6,2,1
270.05,7010,bot1,4,1
295.625,7636,bot3,7,1
268.6,6846,bot4,3,1
78.675,2124,bot6,2,1
274.05,7058,bot1,4,1
299.625,7684,bot3,7,1
272.6,6966,bot4,3,1
82.675,2172,bot6,2,1
276.05,7158,bot1,4,1
307.625,8004,bot3,7,1
90.675,2244,bot6,2,1
309.625,8084,bot3,7,1
277.20000000000005,7026,bot4,3,1
92.675,2304,bot6,2,1
287.0,7278,bot1,4,1
313.625,8144,bot3,7,1
281.20000000000005,7146,bot4,3,1
289.0,7308,bot1,4,1
285.20000000000005,7194,bot4,3,1
99.375,2340,bot6,2,1
291.0,7388,bot1,4,1
318.175,8174,bot3,7,1
289.20000000000005,7242,bot4,3,1
101.375,2364,bot6,2,1
293.0,7448,bot1,4,1
320.175,8274,bot3,7,1
291.20000000000005,7272,bot4,3,1
105.375,2484,bot6,2,1
301.0,7544,bot1,4,1
324.175,8322,bot3,7,1
293.20000000000005,7332,bot4,3,1
113.375,2604,bot6,2,1
303.0,7624,bot1,4,1
328.175,8482,bot3,7,1
295.20000000000005,7432,bot4,3,1
117.375,2724,bot6,2,1
305.0,7654,bot1,4,1
336.175,8578,bot3,7,1
299.20000000000005,7480,bot4,3,1
119.375,2748,bot6,2,1
309.0,7714,bot1,4,1
340.175,8626,bot3,8,1
301.20000000000005,7580,bot4,3,1
127.375,3068,bot6,2,1
344.175,8746,bot3,8,1
305.20000000000005,7640,bot4,3,1
131.375,3268,bot6,2,1
313.6,7794,bot1,4,1
346.175,8846,bot3,8,1
321.6,8194,bot1,4,1
350.175,9006,bot3,8,1
311.50000000000006,7800,bot4,3,1
138.075,3468,bot6,2,1
329.6,8290,bot1,4,1
358.175,9078,bot3,8,1
313.50000000000006,7900,bot4,3,1
140.075,3486,bot6,2,1
333.6,8350,bot1,4,1
360.175,9138,bot3,8,1
317.50000000000006,7936,bot4,3,1
142.075,3586,bot6,2,1
337.6,8470,bot1,4,1
364.175,9298,bot3,8,1
319.50000000000006,7954,bot4,3,1
150.075,3682,bot6,2,1
339.6,8488,bot1,4,1
372.175,9538,bot3,8,1
327.50000000000006,8074,bot4,3,1
158.075,3778,bot6,2,1
380.175,9610,bot3,8,1
329.50000000000006,8098,bot4,3,1
160.075,3796,bot6,2,1
343.85,8588,bot1,4,1
384.175,9770,bot3,8,1
331.50000000000006,8122,bot4,3,1
164.075,3844,bot6,2,1
347.85,8624,bot1,4,1
335.50000000000006,8242,bot4,3,1
166.075,3904,bot6,2,1
351.85,8784,bot1,4,1
390.65000000000003,9890,bot3,8,1
343.50000000000006,8482,bot4,3,1
353.85,8808,bot1,4,1
394.65000000000003,10010,bot3,8,1
176.475,4224,bot6,2,1
361.85,8904,bot1,4,1
396.65000000000003,10090,bot3,8,1
354.00000000000006,8602,bot4,3,1
180.475,4384,bot6,2,1
363.85,8934,bot1,4,1
404.65000000000003,10410,bot3,8,1
362.00000000000006,8842,bot4,3,1
188.475,4456,bot6,2,1
365.85,9014,bot1,4,1
412.65000000000003,10650,bot3,8,1
366.00000000000006,8902,bot4,3,1
190.475,4536,bot6,2,1
367.85,9074,bot1,4,1
414.65000000000003,10750,bot3,9,1
370.00000000000006,8962,bot4,3,1
198.475,4936,bot6,2,1
371.85,9234,bot1,4,1
416.65000000000003,10768,bot3,9,1
378.00000000000006,9282,bot4,3,1
200.475,4996,bot6,2,1
379.85,9330,bot1,4,1
424.65000000000003,10840,bot3,9,1
202.475,5076,bot6,2,1
381.85,9410,bot1,4,1
426.65000000000003,10900,bot3,9,1
382.6000000000001,9300,bot4,3,1
204.475,5100,bot6,2,1
434.65000000000003,11140,bot3,9,1
390.6000000000001,9700,bot4,3,1
392.8,9530,bot1,4,1
438.65000000000003,11200,bot3,9,1
392.6000000000001,9724,bot4,3,1
215.125,5420,bot6,2,1
394.8,9560,bot1,4,1
440.65000000000003,11280,bot3,9,1
396.6000000000001,9924,bot4,3,1
219.125,5480,bot6,2,1
402.8,9800,bot1,4,1
444.65000000000003,11340,bot3,9,1
404.6000000000001,10244,bot4,3,1
227.125,5720,bot6,2,1
406.8,9920,bot1,4,1
448.65000000000003,11540,bot3,9,1
406.6000000000001,10268,bot4,3,1
229.125,5820,bot6,2,1
410.8,10080,bot1,4,1
456.65000000000003,11780,bot3,9,1
408.6000000000001,10286,bot4,3,1
237.125,6220,bot6,2,1
414.8,10140,bot1,4,1
412.6000000000001,10446,bot4,3,1
418.8,10300,bot1,4,1
467.27500000000003,12180,bot3,9,1
243.525,6340,bot6,2,1
